postal_code,latitude,longitude,place_name,region_1_en,region_2_en,region_3_en,country_name,country_code,timezone,utc
50308,-5.025329,33.149899,Uyui,Tabora,Tabora,Uyui,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
25115,-3.3418561,37.3050246,Moshi Urban,Kilimanjaro,Kilimanjaro,Moshi Urban,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
27220,-4.204844,35.572275,Babati,Manyara,Manyara,Babati,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
67212,-6.987382,37.954947,Morogoro Rural,Morogoro,Morogoro,Morogoro Rural,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
23502,-2.606645,36.754514,Monduli,Arusha,Arusha,Monduli,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
37308,-3.853445,32.586594,Kahama,Shinyanga,Shinyanga,Kahama,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
37510,-3.8633963,33.7657848,Kishapu,Shinyanga,Shinyanga,Kishapu,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
45115,-4.9848824,32.7033603,Tabora Urban,Tabora,Tabora,Tabora Urban,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
41517,-5.80125,36.51551,Kongwa,Dodoma,Dodoma,Kongwa,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
61513,-7.3066593,39.2978198,Mkuranga,Pwani,Pwani,Mkuranga,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
50107,-6.353784,31.061738,Mpanda,Rukwa,Rukwa,Mpanda,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
37335,-3.5703771,32.6526371,Kahama,Shinyanga,Shinyanga,Kahama,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
